step,intersection,time_of_day,phase_used,duration,queue_ns,queue_ew,served_ns,served_ew,throughput,avg_wait_proxy,stops,emergency,explanation
364,1,afternoon,NS,12.278269146311137,0,3,5,0,5,1.5,3,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
364,2,afternoon,NS,12.278269146311137,0,2,5,0,5,1.0,2,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
365,0,afternoon,NS,12.281588269446088,0,4,6,0,6,2.0,4,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
365,1,afternoon,EW,12.40278493939164,4,0,0,7,7,2.0,4,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
365,2,afternoon,EW,12.40856553898655,3,0,0,6,6,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
366,0,afternoon,EW,12.399029266505732,2,0,0,8,8,1.0,2,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
366,1,afternoon,NS,12.080671581414212,0,2,6,0,6,1.0,2,True,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=True | Emergency override: granted immediate green to priority approach."
366,2,afternoon,NS,12.283509596403423,0,2,6,0,6,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
367,0,afternoon,NS,12.284915113057696,0,4,5,0,5,2.0,4,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
367,1,afternoon,EW,12.065439971479181,2,0,0,5,5,1.0,2,True,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=True | Emergency override: granted immediate green to priority approach."
367,2,afternoon,EW,12.413455888216253,4,0,0,5,5,2.0,4,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
368,0,afternoon,EW,12.403280268276882,4,0,0,7,7,2.0,4,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
368,1,afternoon,EW,12.429130336039643,6,0,0,2,2,3.0,6,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
368,2,afternoon,NS,12.288991069432512,0,2,6,0,6,1.0,2,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
369,0,afternoon,NS,12.289979743997995,0,2,6,0,6,1.0,2,False,"Neural policy: queues NS/EW=(4,0), time=afternoon, emergency=False"
369,1,afternoon,NS,12.29275124238432,0,3,10,0,10,1.5,3,False,"Neural policy: queues NS/EW=(6,0), time=afternoon, emergency=False"
369,2,afternoon,EW,12.415862202248453,3,0,0,5,5,1.5,3,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
370,0,afternoon,EW,12.418759923470477,2,0,0,6,6,1.0,2,False,"Neural policy: queues NS/EW=(0,2), time=afternoon, emergency=False"
370,1,afternoon,EW,12.412978699555307,2,0,0,7,7,1.0,2,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
370,2,afternoon,NS,12.29134245407321,0,4,5,0,5,2.0,4,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
371,0,afternoon,NS,12.29208267937778,0,4,5,0,5,2.0,4,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
371,1,afternoon,NS,12.29208267937778,0,3,4,0,4,1.5,3,False,"Neural policy: queues NS/EW=(2,0), time=afternoon, emergency=False"
371,2,afternoon,EW,12.409371418846817,3,0,0,7,7,1.5,3,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
372,0,afternoon,EW,12.410957058551931,4,0,0,7,7,2.0,4,False,"Neural policy: queues NS/EW=(0,4), time=afternoon, emergency=False"
372,1,afternoon,EW,12.416742639588024,3,0,0,5,5,1.5,3,False,"Neural policy: queues NS/EW=(0,3), time=afternoon, emergency=False"
372,2,afternoon,NS,12.294963677399872,0,2,5,0,5,1.0,2,False,"Neural policy: queues NS/EW=(3,0), time=afternoon, emergency=False"
